CASE,OFFENSE,OFFENSE DESCRIPTION,REPORT DATE,OCCUR DATE,DAY OF WEEK ,LOCATION ,Location 1
SL2013188714,5499-6,TRAFFIC,11/29/2013 07:55:00 AM,11/29/2013 07:55:00 AM,6,"800 S REDWOOD RD
Salt Lake City, Utah
(40.752162575000455, -111.93904312099971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013179730,5499-12,TRAFFIC,11/11/2013 12:00:00 PM,11/11/2013 11:23:00 AM,2,"2400 S WILSHIRE CIR
Salt Lake City, Utah
(40.717404831000465, -111.81428506099968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013194389,5499-7,TRAFFIC,12/10/2013 08:00:00 AM,12/10/2013 08:00:00 AM,3,"1400 S NAVAJO ST
Salt Lake City, Utah
(40.73855376200049, -111.92949417399967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201385105,5499-6,TRAFFIC,06/03/2013 08:05:00 PM,06/03/2013 07:50:00 PM,2,"200 N 4100 W
Salt Lake City, Utah
(40.682053219000466, -112.04392326999971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201391837,5499-7,TRAFFIC,06/14/2013 07:42:00 PM,06/14/2013 12:00:00 AM,6,"2200 W NORTH TEMPLE ST
Salt Lake City, Utah
(40.771520327000474, -111.9536384319997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201374463,5401-0,TRAFFIC,05/16/2013 12:49:00 PM,05/16/2013 12:49:00 PM,5,"200 S 300 E
Salt Lake City, Utah
(40.76493413300045, -111.88260293399969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201350748,5499-7,TRAFFIC,04/04/2013 09:16:00 PM,04/04/2013 12:00:00 AM,5,"400 W 500 S
Salt Lake City, Utah
(40.75851873100049, -111.90275578899968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201327299,5404-0,TRAFFIC,02/22/2013 12:19:00 AM,02/22/2013 12:19:00 AM,6,"300 W 500 S
Salt Lake City, Utah
(40.75851170700048, -111.89980572099967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201318489,5499-7,TRAFFIC,02/05/2013 02:36:00 PM,02/05/2013 12:00:00 AM,3,"500 S STATE ST
Salt Lake City, Utah
(40.75839336000047, -111.88827130699968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013102586,5401-0,TRAFFIC,07/02/2013 06:11:00 AM,07/02/2013 06:11:00 AM,3,"00 N STATE ST
Salt Lake City, Utah
(40.772651820000476, -111.8882268319997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013201133,5401-0,TRAFFIC,12/22/2013 12:31:00 AM,12/22/2013 12:31:00 AM,1,"200 W 500 S
Salt Lake City, Utah
(40.758497785000486, -111.89693636999971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013103631,5499-7,TRAFFIC,07/03/2013 04:39:00 PM,07/03/2013 04:39:00 PM,4,"1500 S FOOTHILL DR
Salt Lake City, Utah
(40.73738936300049, -111.82365445799968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201383162,5499-0,TRAFFIC,05/31/2013 04:42:00 PM,05/31/2013 12:00:00 AM,6,"1800 S BANGERTER SOUTHBOUND HWY
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201336768,5499-8,TRAFFIC,03/11/2013 11:20:00 AM,03/11/2013 12:00:00 AM,2,"REDWOOD RD / NORTH TEMPLE ST
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201387871,5499-7,TRAFFIC,06/08/2013 02:21:00 PM,06/08/2013 12:00:00 AM,7,"1300 S WEST TEMPLE ST
Salt Lake City, Utah
(40.74151196300045, -111.8939739119997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201395012,5499-7,TRAFFIC,06/19/2013 08:16:00 PM,06/19/2013 08:16:00 PM,4,"200 N 400 W
Salt Lake City, Utah
(40.773793784000475, -111.90248209099968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201350857,5404-0,TRAFFIC,04/05/2013 01:04:00 AM,04/05/2013 01:04:00 AM,6,"400 S 200 W
Salt Lake City, Utah
(40.76058108100045, -111.89684508799968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013800179,5401-0,TRAFFIC,02/12/2013 03:56:00 PM,02/09/2013 11:00:00 PM,7,"2200 E RAMONA AVE
Salt Lake City, Utah
(40.72837160500046, -111.82728042699966)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20137433,5499-84,TRAFFIC,01/15/2013 12:07:00 PM,01/15/2013 12:07:00 PM,3,"500 N TERMINAL NORTHBOUND DR
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013138282,5499-8,TRAFFIC,08/27/2013 11:27:00 AM,08/27/2013 12:00:00 AM,3,"400 S 400 W
Salt Lake City, Utah
(40.760572141000466, -111.90267252499967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013169613,5499-8,TRAFFIC,10/23/2013 09:16:00 AM,10/23/2013 12:00:00 AM,4,"800 N 1200 W
Salt Lake City, Utah
(40.78671139400046, -111.92547405299968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013145246,5499-7,TRAFFIC,09/07/2013 07:06:00 PM,09/07/2013 12:00:00 AM,7,"2100 S 1100 E
Salt Lake City, Utah
(40.725304218000474, -111.8596637069997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20133234,5499-8,TRAFFIC,01/07/2013 12:57:00 PM,01/07/2013 12:00:00 AM,2,"800 E 800 S
Salt Lake City, Utah
(40.75193325200047, -111.86794109899967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013117889,5499-8,TRAFFIC,07/25/2013 08:35:00 AM,07/25/2013 08:35:00 AM,5,"200 N 1000 W
Salt Lake City, Utah
(40.7737414070005, -111.91966397499971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
